asin,n_rows,n_unique,min_label,max_label
1099134587,4,1,False,False
1523503033,7,1,False,False
1698481225,1,1,False,False
B00003008E,302,1,False,False
B00004OCJQ,233,1,False,False
B00004OCNQ,68,1,False,False
B00004YOBF,71,1,False,False
B000052XPU,303,1,False,False
B0000536M2,392,1,False,False
B000058TJ3,985,1,False,False
B00005K9CK,317,1,False,False
B0000631ZM,177,1,False,False
B00006IC7Q,368,1,False,False
B00006IV0R,417,1,False,False
B0000CBJFU,20,1,False,False
B0000VMEQ2,81,1,False,False
B0000Z6JJG,605,1,False,False
B0001EM8I2,332,1,False,False
B00065XNU8,63,1,False,False
B0006H92QK,227,1,False,False
B00076WODS,32,1,False,False
B0007MHD2Y,96,1,False,False
B0007NQH98,121,1,False,False
B0009FHJRS,747,1,False,False
B000AMA43Q,162,1,False,False
B000BABW5Q,1175,1,False,False
B000BZA9W8,95,1,False,False
B000CQBNJY,30,1,False,False
B000DZF4US,150,1,False,False
B000F5IKUM,19,1,False,False
B000F6FPCM,58,1,False,False
B000FGVQW0,1,1,False,False
B000FVXSL2,407,1,False,False
B000FXVAYW,642,1,False,False
B000GTQU5E,182,1,False,False
B000J2KEGY,148,1,False,False
B000JOK11K,326,1,False,False
B000K6C91M,76,1,False,False
B000KI111Y,1060,1,False,False
B000KSCEH4,372,1,False,False
B000L8EEPS,828,1,False,False
B000LDGNCU,64,1,False,False
B000LPHVXS,12,1,False,False
B000MLHMAS,254,1,False,False
B000MS63E2,16,1,False,False
B000NPSLNU,89,1,False,False
B000OLA7KS,314,1,False,False
B000P0SPX4,56,1,False,False
B000PEZYNE,373,1,False,False
B000PUUHIU,26,1,False,False
B000Q3XQAM,8,1,False,False
B000TFDY0E,6,1,False,False
B000VV1ZMU,201,1,False,False
B000WHYB1A,90,1,False,False
B000XPHY10,15,1,False,False
B000Y1W8GE,80,1,False,False
B0012O719Q,11,1,False,False
B0013CC3O0,33,1,False,False
B0013HO0E6,709,1,False,False
B0013MX6DW,77,1,False,False
B0013TZ016,860,1,False,False
B0014X5VHY,117,1,False,False
B00151U4DG,18,1,False,False
B0015R3CM0,29,1,False,False
B0016DE80I,326,1,False,False
B0017NS8H6,63,1,False,False
B0017U7S6G,49,1,False,False
B0019LRNVS,17,1,False,False
B001A4CWHO,178,1,False,False
B001B4X7KE,250,1,False,False
B001FXUTUM,736,1,False,False
B001G7PTWU,228,1,False,False
B001GP7SC6,13,1,False,False
B001JU81ZG,1192,1,False,False
B001P5Y08C,263,1,False,False
B001RMIWJ6,140,1,False,False
B001RPL902,1025,1,False,False
B001S5F5Z6,51,1,False,False
B001TI9Y2M,659,1,False,False
B001VU6BGA,83,1,False,False
B0024S00VA,373,1,False,False
B0026SZJU0,4,1,False,False
B0027LSEPS,1160,1,False,False
B00292BRTU,522,1,False,False
B002ABHNH0,6,1,False,False
B002GHBUTK,441,1,False,False
B002HIFMLU,75,1,False,False
B002IVTEJ2,519,1,False,False
B002JL1Y6C,154,1,False,False
B002L84MLC,2,1,False,False
B002SR9PPY,141,1,False,False
B002UKP0O4,155,1,False,False
B002VECNMQ,92,1,False,False
B0030SZ4P0,273,1,False,False
B0034CYHS2,66,1,False,False
B0035B2R6Q,263,1,False,False
B0038227QM,76,1,False,False
B0039ZCQAK,21,1,False,False
B003CS65NS,205,1,False,False
B003H054RY,303,1,False,False
B003LXY2HA,723,1,False,False
B003MROHZW,623,1,True,True
B0043OUHIE,35,1,False,False
B0043P0HFQ,47,1,False,False
B00447NWFK,298,1,False,False
B00450MNBU,159,1,False,False
B0046ZYF10,284,1,False,False
B0047EAQ18,345,1,False,False
B004D24818,359,1,False,False
B004DL0Y26,62,1,False,False
B004GJ23QK,14,1,False,False
B004HJ1ZB8,344,1,False,False
B004IF89MY,162,1,False,False
B004KI7ASS,3,1,False,False
B004KQ9WEK,6,1,False,False
B004KQBPJK,411,1,False,False
B004NG989G,9,1,False,False
B004NG98AA,20,1,False,False
B004NO6LD4,106,1,False,False
