feature,missing_pct,unique_count,mean,std,min,max,status
title_length,0.0,266,127.2084,55.52397915014797,3.0,534.0,USABLE
title_word_count,0.0,69,21.4445,9.785289721796383,1.0,95.0,USABLE
uppercase_ratio,0.0,2404,0.2647646240973933,0.12226799082825532,0.0,1.0,USABLE
special_character_ratio,0.0,1338,0.04027051760164364,0.027266565261697007,0.0,0.22580645161290322,USABLE
description_length,0.0,1957,480.8519,920.8078821784586,0.0,21055.0,USABLE
description_word_count,0.0,551,80.6719,153.77981165756884,0.0,3417.0,USABLE
feature_count,0.0,18,3.7359,2.2900820154666417,0.0,19.0,USABLE
feature_text_length,0.0,1898,544.194,544.6203529954511,0.0,4216.0,USABLE
category_count,0.0,7,4.1071,1.4625469203924486,0.0,7.0,USABLE
image_count,0.0,22,5.2759,2.7112200687930414,1.0,26.0,USABLE
video_count,0.0,11,2.6552,3.8996453278943632,0.0,10.0,USABLE
has_videos,0.0,2,0.4222,0.4939347701424912,0.0,1.0,USABLE
seller_missing,0.0,2,0.0062,0.07849953004713953,0.0,1.0,USABLE
seller_name_length,0.0,41,7.8219,4.068247221291419,0.0,64.0,USABLE
price_numeric,57.18,1454,88.70702241943017,335.99842644121577,0.93,12998.0,HIGH_MISSINGNESS
price_missing,0.0,2,0.5718,0.49484264865176336,0.0,1.0,USABLE
price_ratio_to_category,57.18,3146,1.7676309518911553,4.61548361279567,0.013283568441965436,109.83884648006786,HIGH_MISSINGNESS
log_price_ratio,57.18,3146,0.8030902990504399,0.48931496912851835,0.013196115453914989,4.708077312867977,HIGH_MISSINGNESS
price_anomaly,57.18,3146,0.8030902990504399,0.48931496912851835,0.013196115453914989,4.708077312867977,HIGH_MISSINGNESS
average_rating,0.0,40,4.07684,0.7378075971451097,1.0,5.0,USABLE
rating_number,0.0,1418,503.8259,3132.790702512341,1.0,143891.0,USABLE
log_rating_number,0.0,1418,3.4800226040800757,2.068253570551031,0.6931471805599453,11.876818297167434,USABLE
rating_extremeness,0.0,28,1.1856799999999998,0.5459695466549278,0.0,2.0,USABLE
high_rating,0.0,2,0.3479,0.4763279110317627,0.0,1.0,USABLE
low_review_count,0.0,2,0.3515,0.4774626132533368,0.0,1.0,USABLE
high_rating_low_reviews,0.0,2,0.1459,0.3530235864149257,0.0,1.0,USABLE
