feature,dtype,valid_count,missing_count,missing_pct,infinite_count,unique_count,min,max,quality_status
title_length,int64,3389,0,0.0,0,2,0.0,197.0,USABLE
title_word_count,int64,3389,0,0.0,0,2,0.0,30.0,USABLE
uppercase_ratio,float64,3389,0,0.0,0,2,0.0,0.15736040609137056,USABLE
special_character_ratio,float64,3389,0,0.0,0,2,0.0,0.030456852791878174,USABLE
description_length,int64,3389,0,0.0,0,2,0.0,2.0,USABLE
description_word_count,int64,3389,0,0.0,0,1,0.0,0.0,CONSTANT
feature_count,int64,3389,0,0.0,0,1,0.0,0.0,CONSTANT
feature_text_length,int64,3389,0,0.0,0,2,0.0,1912.0,USABLE
category_count,int64,3389,0,0.0,0,1,0.0,0.0,CONSTANT
image_count,int64,3389,0,0.0,0,1,0.0,0.0,CONSTANT
video_count,int64,3389,0,0.0,0,1,0.0,0.0,CONSTANT
has_videos,int64,3389,0,0.0,0,1,0.0,0.0,CONSTANT
seller_missing,int64,3389,0,0.0,0,2,0.0,1.0,USABLE
seller_name_length,int64,3389,0,0.0,0,2,0.0,7.0,USABLE
price_numeric,float64,1,3388,99.97,0,1,27.94,27.94,HIGH_MISSINGNESS
price_missing,int64,3389,0,0.0,0,2,0.0,1.0,USABLE
price_ratio_to_category,float64,1,3388,99.97,0,1,1.0,1.0,HIGH_MISSINGNESS
log_price_ratio,float64,1,3388,99.97,0,1,0.0,0.0,HIGH_MISSINGNESS
price_anomaly,float64,0,3389,100.0,0,0,,,UNUSABLE
average_rating,float64,1,3388,99.97,0,1,4.6,4.6,HIGH_MISSINGNESS
rating_number,float64,1,3388,99.97,0,1,2650.0,2650.0,HIGH_MISSINGNESS
log_rating_number,float64,1,3388,99.97,0,1,7.8826922062890254,7.8826922062890254,HIGH_MISSINGNESS
rating_extremeness,float64,1,3388,99.97,0,1,1.5999999999999996,1.5999999999999996,HIGH_MISSINGNESS
high_rating,int64,3389,0,0.0,0,2,0.0,1.0,USABLE
low_review_count,int64,3389,0,0.0,0,1,0.0,0.0,CONSTANT
high_rating_low_reviews,int64,3389,0,0.0,0,1,0.0,0.0,CONSTANT
