feature,target_correlation
high_rating,-0.015254535599342617
description_length,-0.015254535599342617
special_character_ratio,-0.015254535599342608
feature_text_length,-0.015254535599342596
seller_name_length,-0.015254535599342579
uppercase_ratio,-0.015254535599342525
title_word_count,-0.015254535599342485
title_length,-0.01525453559934248
seller_missing,0.015254535599342462
price_missing,0.015254535599342462
description_word_count,
feature_count,
category_count,
image_count,
video_count,
has_videos,
price_numeric,
price_ratio_to_category,
log_price_ratio,
price_anomaly,
average_rating,
rating_number,
log_rating_number,
rating_extremeness,
low_review_count,
high_rating_low_reviews,
